"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[AQP9]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sex]"	"Term Source REF"	"Term Accession Number"
"M. Rutzler"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"253_Liv"	"Knock-Out Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14339"	"male"	"EFO"	"http://purl.org/obo/owl/PATO#PATO_0000384"
"M. Rutzler"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"251_plas"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"male"	"EFO"	"http://purl.org/obo/owl/PATO#PATO_0000384"
"M. Rutzler"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"251_Liv"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"male"	"EFO"	"http://purl.org/obo/owl/PATO#PATO_0000384"
"M. Rutzler"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"241_plas"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"male"	"EFO"	"http://purl.org/obo/owl/PATO#PATO_0000384"
"M. Rutzler"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"241_Liv"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"male"	"EFO"	"http://purl.org/obo/owl/PATO#PATO_0000384"
"M. Rutzler"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"233_plas"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"female"	"EFO"	"http://purl.org/obo/owl/PATO#PATO_0000383"
"M. Rutzler"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"233_Liv"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"female"	"EFO"	"http://purl.org/obo/owl/PATO#PATO_0000383"
"M. Rutzler"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"229_plas"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"female"	"EFO"	"http://purl.org/obo/owl/PATO#PATO_0000383"
"M. Rutzler"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"229_Liv"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"female"	"EFO"	"http://purl.org/obo/owl/PATO#PATO_0000383"
"M. Rutzler"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"210_plas"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"female"	"EFO"	"http://purl.org/obo/owl/PATO#PATO_0000383"
