"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time Point]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Meal]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Person]"	"Term Source REF"	"Term Accession Number"
"C_EX_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"C_EX_T0_2"	"T0_2"	""	""	"Extract"	""	""	"C"	""	""
"C_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"C_EX_T0"	"T0"	""	""	"Extract"	""	""	"C"	""	""
"C_EX_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"C_EX_T2_5"	"T2_5"	""	""	"Extract"	""	""	"C"	""	""
"C_EX_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"C_EX_T5_8"	"T5_8"	""	""	"Extract"	""	""	"C"	""	""
"C_EX_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"C_EX_T8_24"	"T8_24"	""	""	"Extract"	""	""	"C"	""	""
"C_JU_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"C_JU_T0_2"	"T0_2"	""	""	"Juice"	""	""	"C"	""	""
"C_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"C_JU_T0"	"T0"	""	""	"Juice"	""	""	"C"	""	""
"C_JU_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"C_JU_T2_5"	"T2_5"	""	""	"Juice"	""	""	"C"	""	""
"C_JU_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"C_JU_T5_8"	"T5_8"	""	""	"Juice"	""	""	"C"	""	""
"C_JU_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"C_JU_T8_24"	"T8_24"	""	""	"Juice"	""	""	"C"	""	""
"D_EX_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"D_EX_T0_2"	"T0_2"	""	""	"Extract"	""	""	"D"	""	""
"D_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"D_EX_T0"	"T0"	""	""	"Extract"	""	""	"D"	""	""
"D_EX_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"D_EX_T2_5"	"T2_5"	""	""	"Extract"	""	""	"D"	""	""
"D_EX_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"D_EX_T5_8"	"T5_8"	""	""	"Extract"	""	""	"D"	""	""
"D_EX_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"D_EX_T8_24"	"T8_24"	""	""	"Extract"	""	""	"D"	""	""
"D_JU_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"D_JU_T0_2"	"T0_2"	""	""	"Juice"	""	""	"D"	""	""
"D_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"D_JU_T0"	"T0"	""	""	"Juice"	""	""	"D"	""	""
