"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time Point]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Meal]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Person]"	"Term Source REF"	"Term Accession Number"
"D_JU_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"D_JU_T2_5"	"T2_5"	""	""	"Juice"	""	""	"D"	""	""
"D_JU_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"D_JU_T5_8"	"T5_8"	""	""	"Juice"	""	""	"D"	""	""
"D_JU_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"D_JU_T8_24"	"T8_24"	""	""	"Juice"	""	""	"D"	""	""
"E_EX_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"E_EX_T0_2"	"T0_2"	""	""	"Extract"	""	""	"E"	""	""
"E_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"E_EX_T0"	"T0"	""	""	"Extract"	""	""	"E"	""	""
"E_EX_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"E_EX_T2_5"	"T2_5"	""	""	"Extract"	""	""	"E"	""	""
"E_EX_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"E_EX_T5_8"	"T5_8"	""	""	"Extract"	""	""	"E"	""	""
"E_EX_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"E_EX_T8_24"	"T8_24"	""	""	"Extract"	""	""	"E"	""	""
"E_JU_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"E_JU_T0_2"	"T0_2"	""	""	"Juice"	""	""	"E"	""	""
"E_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"E_JU_T0"	"T0"	""	""	"Juice"	""	""	"E"	""	""
"E_JU_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"E_JU_T2_5"	"T2_5"	""	""	"Juice"	""	""	"E"	""	""
"E_JU_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"E_JU_T5_8"	"T5_8"	""	""	"Juice"	""	""	"E"	""	""
"E_JU_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"E_JU_T8_24"	"T8_24"	""	""	"Juice"	""	""	"E"	""	""
"F_EX_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"F_EX_T0_2"	"T0_2"	""	""	"Extract"	""	""	"F"	""	""
"F_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"F_EX_T0"	"T0"	""	""	"Extract"	""	""	"F"	""	""
"F_EX_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"F_EX_T2_5"	"T2_5"	""	""	"Extract"	""	""	"F"	""	""
"F_EX_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"F_EX_T5_8"	"T5_8"	""	""	"Extract"	""	""	"F"	""	""
"F_EX_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"F_EX_T8_24"	"T8_24"	""	""	"Extract"	""	""	"F"	""	""
"F_JU_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"F_JU_T0_2"	"T0_2"	""	""	"Juice"	""	""	"F"	""	""
"F_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"F_JU_T0"	"T0"	""	""	"Juice"	""	""	"F"	""	""
"F_JU_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"F_JU_T2_5"	"T2_5"	""	""	"Juice"	""	""	"F"	""	""
"F_JU_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"F_JU_T5_8"	"T5_8"	""	""	"Juice"	""	""	"F"	""	""
"F_JU_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"F_JU_T8_24"	"T8_24"	""	""	"Juice"	""	""	"F"	""	""
"G_EX_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"G_EX_T0_2"	"T0_2"	""	""	"Extract"	""	""	"G"	""	""
"G_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"G_EX_T0"	"T0"	""	""	"Extract"	""	""	"G"	""	""
"G_EX_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"G_EX_T2_5"	"T2_5"	""	""	"Extract"	""	""	"G"	""	""
"G_EX_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"G_EX_T5_8"	"T5_8"	""	""	"Extract"	""	""	"G"	""	""
"G_EX_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"G_EX_T8_24"	"T8_24"	""	""	"Extract"	""	""	"G"	""	""
"G_JU_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"G_JU_T0_2"	"T0_2"	""	""	"Juice"	""	""	"G"	""	""
"G_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"G_JU_T0"	"T0"	""	""	"Juice"	""	""	"G"	""	""
"G_JU_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"G_JU_T2_5"	"T2_5"	""	""	"Juice"	""	""	"G"	""	""
"G_JU_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"G_JU_T5_8"	"T5_8"	""	""	"Juice"	""	""	"G"	""	""
"G_JU_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"G_JU_T8_24"	"T8_24"	""	""	"Juice"	""	""	"G"	""	""
"L_EX_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"L_EX_T0_2"	"T0_2"	""	""	"Extract"	""	""	"L"	""	""
"L_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"L_EX_T0"	"T0"	""	""	"Extract"	""	""	"L"	""	""
"L_EX_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"L_EX_T2_5"	"T2_5"	""	""	"Extract"	""	""	"L"	""	""
"L_EX_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"L_EX_T5_8"	"T5_8"	""	""	"Extract"	""	""	"L"	""	""
"L_EX_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"L_EX_T8_24"	"T8_24"	""	""	"Extract"	""	""	"L"	""	""
"L_JU_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"L_JU_T0_2"	"T0_2"	""	""	"Juice"	""	""	"L"	""	""
"L_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"L_JU_T0"	"T0"	""	""	"Juice"	""	""	"L"	""	""
"L_JU_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"L_JU_T2_5"	"T2_5"	""	""	"Juice"	""	""	"L"	""	""
"L_JU_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"L_JU_T5_8"	"T5_8"	""	""	"Juice"	""	""	"L"	""	""
"L_JU_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"L_JU_T8_24"	"T8_24"	""	""	"Juice"	""	""	"L"	""	""
"M_EX_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"M_EX_T0_2"	"T0_2"	""	""	"Extract"	""	""	"M"	""	""
"M_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"M_EX_T0"	"T0"	""	""	"Extract"	""	""	"M"	""	""
"M_EX_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"M_EX_T2_5"	"T2_5"	""	""	"Extract"	""	""	"M"	""	""
"M_EX_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"M_EX_T5_8"	"T5_8"	""	""	"Extract"	""	""	"M"	""	""
"M_EX_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"M_EX_T8_24"	"T8_24"	""	""	"Extract"	""	""	"M"	""	""
"M_JU_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"M_JU_T0_2"	"T0_2"	""	""	"Juice"	""	""	"M"	""	""
"M_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"M_JU_T0"	"T0"	""	""	"Juice"	""	""	"M"	""	""
"M_JU_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"M_JU_T2_5"	"T2_5"	""	""	"Juice"	""	""	"M"	""	""
"M_JU_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"M_JU_T5_8"	"T5_8"	""	""	"Juice"	""	""	"M"	""	""
"M_JU_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"M_JU_T8_24"	"T8_24"	""	""	"Juice"	""	""	"M"	""	""
"P_EX_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"P_EX_T0_2"	"T0_2"	""	""	"Extract"	""	""	"P"	""	""
"P_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"P_EX_T0"	"T0"	""	""	"Extract"	""	""	"P"	""	""
