"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[variety]"	"Term Source REF"	"Term Accession Number"	"Factor Value[location]"	"Term Source REF"	"Term Accession Number"
"Group-13.Subject-3"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. bilobata"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD107"	"var. bilobata"	""	""	"Kuala Terengganu"	""	""
"Group-13.Subject-4"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. bilobata"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD108"	"var. bilobata"	""	""	"Kuala Terengganu"	""	""
"Group-13.Subject-5"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. bilobata"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD109"	"var. bilobata"	""	""	"Kuala Terengganu"	""	""
"Group-13.Subject-6"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. bilobata"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD110"	"var. bilobata"	""	""	"Kuala Terengganu"	""	""
"Group-14.Subject-1"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. bilobata2"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD111"	"var. bilobata2"	""	""	"Kuala Terengganu"	""	""
"Group-14.Subject-2"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. bilobata2"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD112"	"var. bilobata2"	""	""	"Kuala Terengganu"	""	""
"Group-14.Subject-3"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. bilobata2"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD113"	"var. bilobata2"	""	""	"Kuala Terengganu"	""	""
"Group-14.Subject-4"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. bilobata2"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD114"	"var. bilobata2"	""	""	"Kuala Terengganu"	""	""
"Group-14.Subject-5"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. bilobata2"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD115"	"var. bilobata2"	""	""	"Kuala Terengganu"	""	""
"Group-14.Subject-6"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. bilobata2"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD116"	"var. bilobata2"	""	""	"Kuala Terengganu"	""	""
"Group-15.Subject-1"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. intermedia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD117"	"var. intermedia"	""	""	"Kuala Terengganu"	""	""
"Group-15.Subject-2"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. intermedia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD118"	"var. intermedia"	""	""	"Kuala Terengganu"	""	""
"Group-15.Subject-3"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. intermedia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD119"	"var. intermedia"	""	""	"Kuala Terengganu"	""	""
"Group-15.Subject-4"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. intermedia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD120"	"var. intermedia"	""	""	"Kuala Terengganu"	""	""
"Group-15.Subject-5"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. intermedia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD121"	"var. intermedia"	""	""	"Kuala Terengganu"	""	""
"Group-16.Subject-1"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD122"	"var. angustifolia"	""	""	"Kuala Terengganu"	""	""
"Group-16.Subject-2"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD123"	"var. angustifolia"	""	""	"Kuala Terengganu"	""	""
"Group-16.Subject-3"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD124"	"var. angustifolia"	""	""	"Kuala Terengganu"	""	""
"Group-16.Subject-4"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD125"	"var. angustifolia"	""	""	"Kuala Terengganu"	""	""
"Group-16.Subject-5"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD126"	"var. angustifolia"	""	""	"Kuala Terengganu"	""	""
