"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Victoria Univeristy.Subject-01.bloodplasma-1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-01.bloodplasma-1"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-02.bloodplasma-1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-02.bloodplasma-1"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-03.bloodplasma-1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-03.bloodplasma-1"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-04.bloodplasma-1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-04.bloodplasma-1"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-05.bloodplasma-1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-05.bloodplasma-1"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-06.bloodplasma-1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-06.bloodplasma-1"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-07.bloodplasma-1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-07.bloodplasma-1"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-01.bloodplasma-2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-01.bloodplasma-2"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-02.bloodplasma-2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-02.bloodplasma-2"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-03.bloodplasma-2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-03.bloodplasma-2"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-04.bloodplasma-2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-04.bloodplasma-2"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-05.bloodplasma-2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-05.bloodplasma-2"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-06.bloodplasma-2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-06.bloodplasma-2"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-07.bloodplasma-2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-07.bloodplasma-2"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-01.bloodplasma-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-01.bloodplasma-3"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-02.bloodplasma-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-02.bloodplasma-3"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-03.bloodplasma-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-03.bloodplasma-3"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
