"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cultivars]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"
"R063 monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R063"	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"RIN"	""	""	"3"	""	""
"R064 monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R064"	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"RIN"	""	""	"3"	""	""
"R073 monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R073"	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"RIN"	""	""	"1"	""	""
"R074 monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R074"	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"RIN"	""	""	"1"	""	""
"R075 monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R075"	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"RIN"	""	""	"1"	""	""
"R076 monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R076"	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"RIN"	""	""	"1"	""	""
"R077 monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R077"	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"RIN"	""	""	"1"	""	""
"R078 monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R078"	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"RIN"	""	""	"1"	""	""
"R079 monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R079"	"54"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"RIN"	""	""	"1"	""	""
"R080 monogenic mutant, ripening inhibited_failed_injection"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R080"	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"RIN"	""	""	"1"	""	""
