"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cultivars]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"
"R115 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R115"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"1"	""	""
"R116 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R116"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"2"	""	""
"R117 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R117"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"3"	""	""
"R118 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R118"	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"1"	""	""
"R119 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R119"	"53"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"2"	""	""
"R120 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R120"	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"2"	""	""
"R121 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R121"	"53"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"3"	""	""
"R122 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R122"	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"3"	""	""
"R123 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R123"	"53"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"1"	""	""
"R124 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R124"	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"1"	""	""
"R125 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R125"	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"2"	""	""
"R126 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R126"	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"3"	""	""
"R145 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R145"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"1"	""	""
"R146 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R146"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"3"	""	""
"R147 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R147"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"2"	""	""
"R081 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R081"	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NOR"	""	""	"1"	""	""
"R009 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R009"	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"1"	""	""
"R010 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R010"	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"2"	""	""
"R011 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R011"	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"2"	""	""
"R012 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R012"	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"2"	""	""
"R013 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R013"	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"2"	""	""
"R014 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R014"	"25"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"2"	""	""
"R015 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R015"	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"2"	""	""
"R016 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R016"	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"2"	""	""
"R017 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R017"	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"2"	""	""
"R018 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R018"	"54"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"3"	""	""
"R019 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R019"	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"3"	""	""
"R020 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R020"	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"3"	""	""
"R021 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R021"	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"3"	""	""
"R022 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R022"	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"3"	""	""
"R023 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R023"	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"3"	""	""
"R024 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R024"	"25"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"3"	""	""
"R033 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R033"	"54"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"3"	""	""
"R034 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R034"	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"1"	""	""
"R035 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R035"	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"1"	""	""
"R036 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R036"	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"1"	""	""
"R037 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R037"	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"1"	""	""
"R038 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R038"	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"1"	""	""
"R039 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R039"	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"1"	""	""
"R040 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R040"	"25"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"1"	""	""
"R101 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R101"	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"1"	""	""
"R102 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R102"	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"2"	""	""
"R103 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R103"	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"3"	""	""
"R139 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R139"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"1"	""	""
"R140 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R140"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"2"	""	""
"R141 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R141"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"3"	""	""
"R148 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R148"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"1"	""	""
"R149 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R149"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"2"	""	""
"R150 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R150"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"3"	""	""
"R151 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R151"	"53"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"1"	""	""
"R152 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R152"	"53"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"2"	""	""
"R153 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R153"	"53"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"3"	""	""
"R154 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R154"	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"1"	""	""
"R155 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R155"	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"2"	""	""
"R156 monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R156"	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"CNR"	""	""	"3"	""	""
"R001 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R001"	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"3"	""	""
"R002 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R002"	"54"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"3"	""	""
"R003 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R003"	"54"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"2"	""	""
"R004 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R004"	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"2"	""	""
"R005 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R005"	"53"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"2"	""	""
"R006 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R006"	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"2"	""	""
"R007 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R007"	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"3"	""	""
"R008 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R008"	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"3"	""	""
"R025 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R025"	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"2"	""	""
"R026 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R026"	"54"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"1"	""	""
"R027 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R027"	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"1"	""	""
