"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Factor Value[Salt_Quantity_after_initiation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_08d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_12d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_16d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Sample Name"
"rg1"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6308if_12"
"rg1"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6308if_19"
"rg1"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6308if_26"
"rg1"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6308if_38"
"rg1"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6308if_45"
"rg1"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6308if_5"
"rg1"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6308if_52"
"rg2"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6308if_13"
"rg2"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6308if_20"
"rg2"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6308if_27"
"rg2"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6308if_39"
"rg2"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6308if_46"
"rg2"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6308if_53"
