bucket [0.04ppm]	JGOAd1kCON1.TX_1_1	JGOAd1kCON2.TX_1_1	JGOAd1kCON3.TX_1_1	JGOAd2kcon1.TX_1_1	JGOAd2kcon2.TX_1_1	JGOAd2kcon3.TX_1_1	JGOAd3kcon1.TX_1_1	JGOAd3kcon2.TX_1_1	JGOAd3kcon3.TX_1_1	JGOAd14kcon1.T_1_1	JGOAd14kcon2.T_1_1	JGOAd14kcon3.T_1_1	JGOAd1kOA1.TX_1_1	JGOAk1d3.BBI_1_1	JGOAd1kOA2.TX_1_1	JGOAd2kOA1.TX_1_1	JGOAd2kOA2.TX_1_1	JGOAd2kOA3.TX_1_1	JGOAd3kOA1.TXI_1_1	JGOAd3kOA2.TXI_1_1	JGOAd3kOA3.TXI_1_1	JGOAd14kOA1.TX_1_1	JGOAd14kOA2.TX_1_1	JGOAd14kOA3.TX_1_1	JGOAd1wCON1.TX_1_1	JGOAd1wCON2.TX_1_1	JGOAd1wCON3.TX_1_1	JGOAd2wcon1.TX_1_1	JGOAd2wcon2.TX_1_1	JGOAd2wcon3.TX_1_1	JGOAd3wcon1.TX_1_1	JGOAd3wcon2.TX_1_1	JGOAd3wcon3.TX_1_1	JGham14c1.txi_1_1	JGham14c2.txi_1_1	JGham14c3.txi_1_1	JGOAd1wOA1.TX_1_1	JGOAd1wOA2.TX_1_1	JGOAd1wOA3.TX_1_1	JGOAd2wOA1.TX_1_1	JGOAd2wOA2.TX_1_1	JGOAd2wOA3.TX_1_1	JGOAd3woa1.TX_1_1	JGOAd3woa2.TX_1_1	JGOAd3woa3.TX_1_1	JGham14o1.txi_1_1	JGham14o2.txi_1_1	JGham14o3.txi_1_1
9.38	0.0961	-0.0969	0.2787	-0.4013	-0.1268	-0.0253	0.0641	0.0464	0.0647	-0.0794	-0.2539	0.001	0.3094	-0.1637	-0.139	-0.1093	-0.0337	-0.5946	0.1753	0.3778	-0.2022	-0.194	0.3487	-0.7878	-0.054	-0.0799	0	-0.5096	-0.004	0.0057	0.2593	-0.5305	-0.1349	0.3219	-0.0694	0.1167	0.0238	0.084	0.0883	-0.0217	-0.1128	-0.4941	-0.1982	-0.1819	-0.0684	0.0516	0.0219	0.2419
9.34	0.1595	-0.053	0.3964	-0.3277	-0.0615	0.0211	0.3772	0.0582	0.0328	-0.0521	-0.1833	0.0365	0.5949	0.1383	0.1357	-0.0874	0.0188	-0.8603	0.3143	0.3802	-0.1723	-0.2026	0.0693	-0.7956	0.0438	0.1242	0.011	-0.4136	0.7737	0.8778	0.3803	-0.4015	0.1961	0.3603	-0.0394	0.1154	0.0358	0.0746	0.0955	0.0205	0.2971	-0.1792	-0.0037	0.1547	0.0236	0.1459	0.0262	0.3218
9.3	0.2814	-0.0152	0.4622	-0.334	0.0453	0.0819	0.2475	0.0499	0.0968	0.4058	0.3638	0.3107	0.6978	-0.055	0.1101	-0.0849	0.0093	-0.256	0.3666	0.4258	-0.0946	0.0488	0.1013	-0.5158	0.2132	0.3514	0.0475	-0.3303	0.586	0.272	0.213	-0.3707	0.2538	0.3655	-0.0488	0.1721	0.0618	0.0933	0.1041	0.0963	0.233	0.024	-0.3216	0.2896	0.0432	0.1357	0.0359	0.3272
9.26	0.1481	-0.0491	0.3735	-0.3845	-0.0605	0.0702	0.0296	0.0714	0.0822	0.4798	-0.0751	0.2423	0.5033	-0.2507	-0.085	-0.0802	0.0256	-0.4964	0.2283	0.4115	-0.2252	0.0562	0.1239	-0.5221	0.1793	0.0795	0.0142	-0.3382	0.0937	0.0093	0.0318	-0.2576	-0.0503	0.3508	-0.063	0.1218	0.0525	0.09	0.1264	0.0103	-0.082	-0.33	-0.488	0.017	0.0106	0.0632	0.0305	0.2735
9.22	0.0653	-0.135	0.3261	-0.3611	-0.1765	-0.0187	0.1028	0.0963	0.0743	-0.0487	-0.2321	0.1394	0.3448	-0.1933	-0.0961	-0.0902	0.0173	-0.8644	0.1953	0.3572	-0.1591	0.0112	0.3676	-0.6711	-0.0894	-0.0452	0.0329	-0.5053	-0.0052	-0.0238	0.0806	-0.1288	-0.1728	0.3285	-0.0735	0.1068	0.0334	0.0801	0.1363	-0.0397	-0.1127	-0.5163	-0.5264	-0.138	-0.0592	0.0356	0.034	0.2627
9.18	0.0845	-0.0623	0.3327	-0.3736	-0.1735	0.0017	0.208	0.0508	0.0614	0.0784	-0.267	-0.0062	0.3437	0.0684	-0.1435	-0.0773	0.0036	-0.4988	0.2316	0.3785	-0.1989	-0.177	0.112	-0.5254	-0.0311	-0.0723	0.0082	-0.4906	0.0194	0.349	0.3556	-0.1161	-0.1367	0.317	-0.0372	0.1062	0.0078	0.1006	0.1486	-0.0359	-0.0138	-0.4726	-0.098	-0.1341	-0.044	0.064	0.0486	0.2937
9.14	0.2368	0.0519	0.4976	-0.2173	0.0347	0.1411	0.4695	0.0642	0.0798	-0.0504	-0.2672	-0.0005	0.7026	0.0802	0.2486	-0.0349	0.1212	-0.065	0.3977	0.4985	-0.0675	-0.1821	0.1398	-0.7795	0.1284	0.2037	0.0533	-0.229	0.8765	0.4442	0.3563	0.1657	0.3489	0.3588	0.0207	0.1907	0.0546	0.0969	0.1276	0.0915	0.2316	-0.0344	-0.0379	0.4096	0.3029	0.1778	0.1054	0.3738
9.1	0.2833	0.035	0.5153	-0.2682	0.1193	0.1111	0.294	0.1466	0.2486	-0.0101	-0.2146	0.0324	0.7025	-0.1837	0.19	-0.0676	0.0743	-0.5012	0.3832	0.4452	-0.121	-0.165	0.0979	-0.7324	0.2483	0.4565	0.0371	-0.1972	0.4938	0.2594	0.2688	0.1439	0.2102	0.3731	-0.0238	0.1631	0.039	0.1275	0.1661	0.1302	0.2616	0.0343	-0.1159	0.3027	0.2928	0.1581	0.071	0.3687
9.06	0.0907	-0.0459	0.4039	-0.3614	-0.038	0.0135	0.101	0.0995	0.1719	-0.0105	-0.1951	0.0274	0.4567	-0.2437	-0.0939	-0.065	0.0107	-1.1007	0.227	0.3485	-0.1671	-0.1679	0.1232	-0.7015	0.0267	-0.0195	0.0018	-0.3882	0.1136	0.1368	0.1862	-0.0449	-0.0526	0.331	-0.0307	0.1173	0.033	0.0947	0.1812	0.0479	-0.0602	-0.4056	-0.339	-0.0006	0.02	0.078	0.0553	0.2975
9.02	0.1213	0.0192	0.4295	-0.2515	0.0234	0.0634	0.18	0.0533	0.0731	-0.0028	-0.1208	0.0443	0.4927	-0.2122	-0.0651	-0.0696	0.0857	-0.8432	0.3109	0.3853	-0.1491	-0.178	0.214	-0.6867	0.1269	0.2216	0.0234	-0.243	0.1001	0.113	0.0918	0.0048	-0.0386	0.3329	0.0026	0.1569	0.0432	0.1165	0.1753	0.1739	0.072	-0.2938	-0.4371	0.0302	0.1065	0.0931	0.0864	0.3525
