bucket [0.04ppm]	JGOAd1kCON1.TX_1_1	JGOAd1kCON2.TX_1_1	JGOAd1kCON3.TX_1_1	JGOAd2kcon1.TX_1_1	JGOAd2kcon2.TX_1_1	JGOAd2kcon3.TX_1_1	JGOAd3kcon1.TX_1_1	JGOAd3kcon2.TX_1_1	JGOAd3kcon3.TX_1_1	JGOAd14kcon1.T_1_1	JGOAd14kcon2.T_1_1	JGOAd14kcon3.T_1_1	JGOAd1kOA1.TX_1_1	JGOAk1d3.BBI_1_1	JGOAd1kOA2.TX_1_1	JGOAd2kOA1.TX_1_1	JGOAd2kOA2.TX_1_1	JGOAd2kOA3.TX_1_1	JGOAd3kOA1.TXI_1_1	JGOAd3kOA2.TXI_1_1	JGOAd3kOA3.TXI_1_1	JGOAd14kOA1.TX_1_1	JGOAd14kOA2.TX_1_1	JGOAd14kOA3.TX_1_1	JGOAd1wCON1.TX_1_1	JGOAd1wCON2.TX_1_1	JGOAd1wCON3.TX_1_1	JGOAd2wcon1.TX_1_1	JGOAd2wcon2.TX_1_1	JGOAd2wcon3.TX_1_1	JGOAd3wcon1.TX_1_1	JGOAd3wcon2.TX_1_1	JGOAd3wcon3.TX_1_1	JGham14c1.txi_1_1	JGham14c2.txi_1_1	JGham14c3.txi_1_1	JGOAd1wOA1.TX_1_1	JGOAd1wOA2.TX_1_1	JGOAd1wOA3.TX_1_1	JGOAd2wOA1.TX_1_1	JGOAd2wOA2.TX_1_1	JGOAd2wOA3.TX_1_1	JGOAd3woa1.TX_1_1	JGOAd3woa2.TX_1_1	JGOAd3woa3.TX_1_1	JGham14o1.txi_1_1	JGham14o2.txi_1_1	JGham14o3.txi_1_1
8.98	0.1565	-0.0298	0.3973	-0.3771	-0.1178	0.0326	0.2486	0.0723	0.174	0.1325	0.2291	0.1786	0.4404	-0.1876	-0.0254	0.0083	0.0296	-1.1185	0.2659	0.4351	-0.0569	-0.0719	0.1714	-0.4766	0.0164	-0.0039	0.0415	-0.54	0.0111	0.1318	0.1333	-0.0688	-0.1212	0.3267	0.0553	0.1502	0.038	0.0979	0.1597	-0.05	0.0939	-0.4717	-0.4907	-0.0691	-0.0197	0.1051	0.1179	0.362
8.94	0.9087	0.2557	0.8892	-0.11	0.126	0.5355	0.6512	0.1564	0.1165	0.8451	0.2696	0.5929	0.7974	-0.057	0.4869	0.1049	0.405	-0.6842	0.5878	0.7569	0.2581	0.4376	0.1998	-0.0957	0.2159	0.3011	0.6597	-0.0928	0.1746	0.0656	0.0472	0.0962	0.0523	0.75	0.4739	0.5838	0.4636	0.8151	0.2196	0.3342	0.0531	-0.2638	-0.4903	0.0623	0.4486	0.3181	0.3542	0.6317
8.9	0.1433	-0.1181	0.4112	-0.2496	-0.1342	0.0736	0.2061	0.2397	0.1936	0.0411	-0.1164	0.0767	0.3229	-0.1741	-0.1084	-0.0935	-0.0203	-0.119	0.2569	0.3383	-0.0708	-0.0396	0.4354	-0.6968	-0.0278	-0.0527	0.0394	-0.5626	-0.0011	0.2651	0.2389	-0.1036	-0.1026	0.4262	-0.0409	0.1168	0.0559	0.134	0.7543	-0.0627	-0.0356	-0.5216	-0.1049	-0.1273	-0.0329	0.0811	0.0616	0.3107
8.86	0.3278	0.0338	0.5794	-0.2737	0.1612	0.1679	0.5375	0.075	0.0958	0.211	-0.1626	0.0452	0.7081	0.1138	0.1853	-0.0108	0.0853	-0.9022	0.5516	0.5534	-0.068	-0.0768	0.249	-0.4332	0.1749	0.1957	0.0632	-0.2348	0.8712	0.7065	0.5492	0.2726	0.3389	0.3632	0.0602	0.2168	0.0728	0.1598	0.2324	0.0694	0.3932	0.0448	0.2694	0.3839	0.3485	0.245	0.1381	0.4654
8.82	0.2934	0.1213	0.6175	-0.2869	0.0999	0.172	0.494	0.1942	0.3345	0.0523	-0.1024	0.0763	0.7169	0.0872	0.2233	-0.0207	0.1304	-0.3615	0.4102	0.4827	-0.0797	-0.1137	0.2461	-0.6603	0.2042	0.2756	0.0592	-0.2823	0.5402	0.2886	0.3528	0.1569	0.2435	0.3694	0.0621	0.1847	0.0657	0.1273	0.2685	0.1652	0.1239	0.0037	-0.1308	0.3508	0.3052	0.2154	0.1379	0.4038
8.78	0.1341	0.043	0.471	-0.196	0.0722	0.1097	0.3201	0.0997	0.2533	0.123	0.0294	0.1701	0.5014	-0.2111	-0.0085	0.0287	0.0553	-0.2829	0.3581	0.4225	-0.0314	-0.0757	0.3151	-0.4973	0.155	0.1928	0.0384	-0.2084	0.2095	0.2559	0.2216	0.0653	0.054	0.3396	0.0804	0.1716	0.0604	0.1209	0.2421	0.1446	0.128	-0.2069	-0.3188	0.1836	0.1466	0.1791	0.1508	0.431
8.74	0.4932	0.1513	0.6302	-0.0551	0.0216	0.2659	0.4685	0.1653	0.187	0.1261	0.2076	0.1639	0.5743	-0.1388	0.1116	0.239	0.2344	-0.9204	0.4743	0.6009	0.1223	-0.0621	0.2836	-0.5812	0.1566	0.2211	0.2818	-0.2755	0.108	0.0948	0.0902	0.0436	-0.0407	0.3887	0.3461	0.3549	0.1895	0.3567	0.2453	0.1497	0.2251	-0.2848	-0.4909	0.0895	0.2351	0.288	0.3264	0.6153
8.7	0.5806	0.2726	0.8324	-0.0241	0.0407	0.3532	0.558	0.3176	0.2732	0.3407	1.0366	0.3901	0.6215	-0.1051	0.2711	0.0638	0.2769	-0.7755	0.4629	0.6233	0.1645	0.0976	0.3665	-0.2546	0.1921	0.1634	0.4327	-0.2139	0.1262	0.0151	0.0886	0.025	-0.0451	0.7626	0.3942	0.4914	0.3379	0.5896	0.4249	0.2069	-0.0436	-0.3657	-0.4923	-0.0086	0.3343	0.2855	0.3224	0.5656
8.66	0.1726	0.0212	0.4503	-0.1031	-0.0592	0.0775	0.603	0.1678	0.3023	1.6585	1.7374	1.6049	0.3456	-0.1654	-0.0516	0.0352	0.0903	-1.4688	0.3405	0.4904	0.0681	1.4642	0.6044	0.5412	0.0375	-0.0026	0.0444	-0.5531	0.0558	0.0609	0.1232	-0.087	-0.1279	0.4188	0.3274	0.2591	0.0443	0.1128	0.6721	-0.0179	0.0283	-0.4695	-0.47	-0.1167	0.0319	0.2572	0.3248	0.5302
8.62	0.9625	1.032	1.2505	0.9534	1.1528	0.9873	3.2297	0.3005	0.2617	2.2145	1.5326	1.8484	1.5216	0.1212	1.2105	0.2323	0.9034	0.5519	1.2742	1.4548	1.4214	1.6943	0.673	0.521	1.1111	1.4993	0.07	0.981	1.2633	0.6412	0.254	0.3993	0.1089	2.0044	2.1654	2.0079	0.0751	0.1663	0.2594	0.3413	0.8707	0.5232	-0.4082	0.7695	1.7652	1.3829	1.13	1.4768
8.58	0.3666	0.1113	0.6469	-0.1995	0.2808	0.1234	0.1972	2.1763	1.5018	0.5436	0.4578	1.0959	0.6742	-0.1271	0.1342	0.5389	0.0817	-1.0341	0.4988	0.4593	0.0881	0.4148	0.6458	-0.2187	0.3014	0.1906	0.0322	0.1075	0.3982	0.2865	0.1536	0.1528	0.0488	0.9846	-0.0515	0.4192	0.0418	0.1394	0.3277	0.5061	0.0186	-0.191	-0.4018	0.2874	0.1754	0.0994	0.0768	0.3333
8.54	0.5043	0.5242	0.7854	0.9695	1.5201	0.3448	0.6049	0.4174	1.5737	1.155	0.5117	1.0614	0.5385	-0.0917	0.1188	0.5655	0.6823	0.0428	0.6147	0.7704	0.3122	0.3684	0.3856	-0.0945	1.6989	1.5545	0.0531	1.2715	0.2968	0.3822	0.3861	0.4405	-0.0727	0.8874	0.4905	0.5791	0.0561	0.1454	0.2688	0.5963	0.8826	0.149	-0.2837	0.3764	1.1211	0.4264	0.3458	0.5983
8.5	0.54	0.6152	0.9628	0.3794	0.7523	0.7692	0.6213	0.7901	1.4667	0.3449	0.1956	0.3006	0.8549	-0.0584	0.4351	0.7107	0.6268	-0.1821	0.8472	0.7782	0.5027	0.0492	0.4491	-0.3493	1.1501	1.1973	0.0643	1.4308	0.5248	1.4115	0.8176	0.9968	0.1983	0.9769	0.0326	0.7899	0.0797	0.15	0.3146	0.898	0.9523	0.7019	0.0734	0.8478	1.2995	0.2576	0.2032	0.8092
8.46	0.4392	0.6261	0.6605	1.6164	0.7412	0.6066	0.9019	0.7613	0.9515	1.6049	2.7832	1.6891	0.8218	0.1448	0.4132	0.728	0.6413	-0.3416	0.747	1.0383	2.0631	1.2533	0.3278	0.509	1.1133	1.0028	0.195	0.9887	0.5176	0.5064	0.5496	0.7959	0.4229	0.7054	0.2886	0.4417	0.1289	0.266	0.3463	0.6364	0.7597	0.6741	-0.1402	0.7285	0.6716	0.6042	0.3757	0.6503
8.42	0.3761	0.4002	0.7196	0.2886	0.8405	0.3022	0.7571	4.5627	1.4014	1.6436	-0.062	0.5955	0.9322	0.1188	0.4818	0.163	0.3596	0.2668	0.7308	0.6518	0.0328	0.3804	0.5676	0.079	0.7844	0.8033	0.1287	0.577	1.0435	0.4396	0.1656	0.5708	0.3993	0.499	0.0797	0.2586	0.1008	0.1785	0.5008	0.5438	0.4447	0.6122	-0.3483	0.7745	0.927	0.3358	0.1738	0.544
8.38	0.2737	0.1356	0.5304	-0.069	0.0814	0.1881	0.3808	0.4405	0.4747	0.1811	0.0564	0.6479	0.4096	0.0337	0.06	0.0295	0.1566	-0.1752	0.3962	0.4728	0.1931	0.1153	0.5526	-0.5297	0.1951	0.2426	0.2875	-0.2176	0.1887	0.3259	0.2768	0.0424	-0.0839	0.3665	0.1991	0.2169	0.2463	0.3361	0.3595	0.1032	0.1903	-0.318	-0.2907	0.1071	0.1105	0.2991	0.2634	0.5324
8.34	0.1613	0.2426	0.604	0.0679	0.1323	0.1924	0.6379	0.2526	0.2733	0.3411	0.0417	0.4378	0.4565	0.5763	0.0174	0.0497	0.1364	-0.3338	0.435	0.551	0.0902	0.0579	0.7805	-0.3922	0.2817	0.1639	0.0665	0.0781	0.2603	0.3329	0.3359	0.132	-0.0504	0.3787	0.2766	0.2921	0.0747	0.1457	0.4888	0.2002	0.0819	-0.2453	-0.1384	0.0603	0.2296	0.3348	0.3189	0.6214
8.3	2.6426	0.3953	1.0155	0.2025	0.5964	0.556	1.3851	0.3353	0.3481	1.0047	0.7247	0.7303	1.1429	0.4199	0.8979	0.6304	0.4891	-0.359	1.4256	1.2867	0.7291	0.4762	0.5271	-0.1411	1.421	1.2893	0.1611	1.4578	1.3992	3.9533	2.1714	1.0554	0.8182	0.4279	0.881	0.5574	0.1193	0.1862	0.3774	0.5602	3.6142	1.0004	1.5857	1.6107	0.7506	0.7877	0.6529	1.1387
8.26	2.6256	1.4836	4.0109	1.8737	2.492	1.5157	4.3657	3.3255	2.1418	0.1468	0.1196	0.455	3.9193	1.2474	3.1639	2.0136	1.9109	1.3766	2.3083	2.0899	2.9567	0.0694	0.5158	-0.5154	3.5294	3.8949	0.7233	4.8944	5.4588	0.8806	0.5324	2.3898	2.4148	2.3917	2.7456	2.3741	0.5691	0.8143	0.4547	1.5546	0.4416	3.0537	0.1826	4.9069	4.5341	1.4073	1.4818	1.7001
8.22	3.0963	0.1209	2.4955	-0.1014	0.2189	0.3328	0.6182	1.9637	4.4303	0.5717	0.0745	0.6449	1.3415	0.6019	0.8991	0.0463	0.174	-0.1263	0.648	0.5466	0.0481	0.2256	0.4115	-0.3291	0.3564	0.4985	0.1518	0.0857	1.4878	1.4726	0.9965	0.4844	0.5955	1.2427	0.6429	0.9693	0.116	0.1526	1.0279	0.1856	0.8886	0.2332	0.6484	0.6805	0.4797	0.4722	0.4687	0.7022
8.18	2.0875	1.6594	1.865	0.2305	1.1926	3.6882	1.8499	0.2938	0.4442	0.0965	-0.1528	0.2879	1.5086	0.5479	0.9575	0.1044	0.4032	-0.0313	1.1452	0.8431	0.118	0.1594	0.4082	-0.5157	1.3645	1.7194	1.3735	1.1546	2.0122	0.7305	0.624	0.8854	1.0489	1.4541	0.5402	1.4162	0.5253	0.5645	0.439	0.5832	0.9656	1.4245	0.0879	1.7122	1.6239	0.5887	0.475	0.7878
8.14	0.457	2.1002	1.8912	0.9271	0.711	0.868	0.3666	0.6823	0.7226	0.1195	-0.1091	0.1569	0.7304	1.7237	0.3514	0.3139	0.7036	-1.0353	0.7363	1.0203	0.3215	0.048	0.3611	-0.5284	0.7003	0.682	0.6178	0.7815	0.4532	0.3919	0.3321	0.2528	0.0636	0.6793	0.3533	0.4669	0.6016	0.6142	0.7992	0.5939	0.3593	-0.0072	-0.1347	0.3254	0.9029	0.5096	0.6096	0.7442
8.1	0.7302	0.7933	0.9169	0.1918	0.4146	0.9269	0.4629	0.7817	0.6282	0.2164	-0.1433	0.1725	1.3622	0.2096	2.7758	0.2198	0.3662	-0.3912	0.679	0.7589	0.3963	0.1272	0.3627	-0.4341	0.4711	0.5107	1.24	0.0591	0.9283	0.7457	0.2979	0.2437	3.057	0.6331	0.608	0.5926	0.9326	1.1684	0.8318	0.2165	0.212	0.0314	-0.2616	0.3617	0.4914	1.254	1.4556	1.03
8.06	0.2376	0.2254	0.8883	0.1123	0.5667	0.502	0.8741	0.6083	0.9635	0.0888	-0.1486	0.1091	3.3797	-0.0831	1.5694	0.2108	0.2459	-0.8622	0.5398	0.6165	0.3905	0.0064	0.4415	-0.3804	0.4195	0.2194	0.9264	0.0214	0.8044	0.6621	0.1647	0.1182	3.9741	0.5666	0.2597	0.5215	0.1407	0.2344	1.1381	0.358	0.1449	-0.2347	-0.3974	0.3171	0.2254	2.6744	1.4782	3.4154
8.02	0.0957	0.6225	0.5284	-0.0501	0.0717	0.2091	1.0911	0.5101	1.792	0.0756	-0.1145	0.2271	0.4388	0.1917	0.0271	0.1482	0.1061	-0.9593	0.4508	0.5404	0.2554	0.0487	0.6852	-0.0578	0.079	0.0757	0.1861	-0.2913	0.1468	0.1587	0.2047	0.0064	0.1467	0.5215	0.1302	0.6275	0.9279	0.7107	0.543	0.1612	0.1018	0.3243	-0.0032	0.435	0.1002	0.1497	0.2305	0.3352
7.98	0.1201	0.0402	0.5002	0.1891	0.0212	0.5638	0.0927	0.2642	0.2373	0.3097	-0.0424	0.2047	0.3828	1.8344	0.011	0.1385	0.2202	-0.5633	0.6844	0.5887	0.3039	1.3687	2.3725	1.4302	0.0576	0.2327	0.1055	-0.3132	0.1075	1.2614	5.5374	0.043	0.0633	0.3034	0.2639	0.2057	0.1374	0.2044	0.6895	0.0885	5.1633	7.941	0.3349	0.5274	0.058	0.4025	0.4324	0.5921
7.94	1.041	0.6289	0.8817	0.0516	0.5922	0.3119	0.2059	0.2511	0.2292	0.7336	0.6127	0.5827	1.7378	1.0288	2.7001	0.231	0.2127	2.0766	6.6234	0.964	0.5031	4.6186	1.8773	2.6296	2.7828	2.42	0.7436	-0.064	1.3314	1.3258	0.6864	5.3091	3.1753	0.3369	0.7853	0.3453	0.941	0.9615	0.5032	0.3119	0.5822	0.0819	-0.2545	0.7173	1.1176	1.559	1.7663	1.1135
7.9	0.3418	0.0954	1.1783	0.5013	0.4354	0.1336	0.4207	0.3283	1.2203	0.0391	-0.2845	0.0742	3.0784	0.4301	1.9446	0.3253	2.6505	1.7167	0.7247	7.0642	7.7946	0.3042	0.5304	-0.2043	0.1916	0.1441	0.1405	0.8738	1.0939	0.5455	0.4624	0.223	2.8978	0.8041	0.6721	0.5433	0.1523	0.1962	1.7278	3.0869	0.3241	-0.2021	0.1127	0.1715	0.146	3.5189	2.2006	3.6217
7.86	0.4158	0.0912	0.5745	0.3936	0.0777	0.6217	0.4215	1.2706	0.7542	0.1868	-0.2007	0.1934	0.8576	1.5458	0.4641	4.7477	2.0528	-0.4054	0.6961	0.6228	1.2393	1.7314	1.2277	1.2559	0.217	0.4161	0.2484	-0.1571	0.2406	0.5235	4.349	1.2374	0.5439	0.7204	0.3357	0.6843	0.2629	0.3375	0.5515	3.3573	4.6657	4.5863	0.6266	1.156	0.1178	0.442	0.5818	1.1518
7.82	0.366	0.8692	0.7616	0.0543	0.7422	0.4944	0.2255	0.4086	0.2807	-0.0423	-0.36	-0.0348	1.3776	-0.0994	0.6984	0.3591	0.8541	1.5041	4.2811	1.3452	0.4895	0.0157	0.0001	-0.7943	1.0359	0.7996	0.2003	0.1543	0.3582	0.369	0.8237	4.3544	0.6234	0.4581	0.5032	0.3638	0.2856	0.3697	0.6424	0.3849	1.3553	1.8572	-0.1202	0.3533	1.0326	0.7317	0.9863	0.9041
7.78	0.4985	0.1623	0.6794	0.3074	0.2749	0.1794	0.2817	0.3246	0.8299	-0.051	-0.3873	-0.0808	1.0576	0.1989	0.3935	2.093	2.0293	0.3922	0.8057	2.4921	1.5763	-0.0416	0.0033	-0.7757	0.2195	0.3171	0.3124	0.5588	0.2485	0.2749	1.6039	0.8621	0.594	0.5194	0.4893	0.5236	0.0821	0.134	0.6812	2.5718	1.648	0.4347	-0.1965	0.0674	0.132	1.0367	0.8368	1.3926
7.74	0.1908	0.3721	0.7289	0.0437	0.3144	0.4913	0.3546	0.3544	0.3142	-0.0379	-0.3886	-0.0866	0.428	0.1141	0.0729	0.2112	0.2164	1.3416	1.7638	0.6563	0.2585	-0.0724	0.0693	-0.7431	0.3428	0.2029	1.1366	-0.2348	0.1692	0.1677	0.8073	1.3406	0.0896	0.6374	0.6515	0.6737	2.1589	2.1635	0.532	0.1917	1.5419	0.9229	-0.0379	0.2724	0.3071	0.4458	0.582	0.7556
7.7	0.2267	0.329	0.6027	0.2939	0.146	0.3319	0.3049	0.2811	0.3694	-0.0262	-0.3471	-0.069	0.6114	-0.1925	0.1913	1.0705	1.6274	-0.5	1.1629	2.1722	2.2876	-0.0543	-0.001	-0.6085	0.3523	0.3445	0.196	0.4066	0.142	0.2248	1.2053	1.0489	0.1629	0.7814	0.6648	0.6252	1.7386	1.9221	2.6654	2.4538	0.7947	0.2514	-0.2686	0.109	0.2116	0.666	0.7614	0.885
7.66	0.1822	0.2628	0.4875	0.29	0.2686	0.2041	0.3307	0.6297	0.2878	-0.03	-0.365	-0.0865	0.3652	-0.1957	0.0527	1.4507	0.762	0.182	0.7683	0.8345	0.4244	-0.0774	-0.0098	-0.6177	0.2872	0.0396	0.1651	0.2377	0.1485	0.2038	0.3092	0.7135	0.0768	0.6449	0.5418	0.6269	0.3078	0.3246	1.5884	1.1666	0.2867	-0.3106	-0.3031	0.0303	0.243	0.5362	0.5479	0.8126
7.62	0.5406	0.3441	0.7708	0.2688	0.1432	0.4872	0.5812	0.3002	0.3328	0.0032	-0.3391	-0.0547	0.6496	-0.1352	0.3219	1.313	1.2083	-0.6234	0.7669	0.9093	0.8316	-0.0624	0.0189	-0.5949	0.2284	0.1012	0.5491	-0.0251	0.2872	0.4867	0.5283	0.4592	0.2408	0.6882	0.7612	0.7921	0.4102	0.4813	0.6386	1.6138	0.6577	0.2215	-0.3022	0.2931	0.4532	0.6186	0.696	0.9947
7.58	0.3417	0.3748	0.7002	0.0939	0.1356	0.3392	0.5257	0.7672	0.4995	0.0689	-0.2287	0.0386	0.5409	-0.1733	0.1904	0.3481	0.4746	0.0627	0.8968	0.7521	0.5376	0.0569	0.0653	-0.5388	0.2546	0.0825	0.492	-0.0917	0.2011	0.1634	0.1942	0.3376	0.1237	0.7111	0.5068	0.5661	1.8527	2.0993	1.0008	0.2984	0.1572	-0.1863	-0.388	0.2098	0.3667	0.6288	0.6684	0.95
7.54	0.1972	0.0816	0.5078	-0.0771	0.0804	0.1278	0.3231	0.3736	0.444	0.1343	-0.1705	0.0688	0.4763	-0.1454	0.1363	0.2339	0.335	-0.4264	0.3816	0.5061	0.191	0.0678	0.144	-0.4769	0.0752	-0.01	0.2277	-0.3048	0.2436	0.1416	0.2387	0.0455	0.1096	0.3915	0.3147	0.2958	0.2465	0.2838	2.4818	0.3627	0.0274	-0.4109	-0.3924	0.0171	0.1137	0.5855	0.602	0.8408
7.5	0.1027	0.136	0.4457	0.0498	0.052	0.1363	0.3376	0.2515	0.1727	0.1063	-0.1527	0.0394	0.3298	-0.1627	-0.0262	0.1602	0.1999	-0.2458	0.3648	0.3897	0.1032	0.0242	0.1341	-0.2786	0.1137	-0.0196	0.0946	-0.3135	0.1554	0.6775	0.2627	0.1273	0.051	0.2935	0.3642	0.3166	0.1142	0.1617	0.6863	0.1736	0.1386	-0.3977	-0.3354	0.0613	0.111	0.8538	0.8372	1.2462
7.46	0.1406	0.1042	0.4363	0.0488	0.1118	0.1586	0.3214	0.2386	0.2143	0.27	0.062	0.2377	0.2827	-0.0798	0.0016	0.1819	0.1776	-0.6579	0.371	0.3615	0.0942	0.1718	0.2387	-0.1507	0.0741	-0.1245	0.1016	-0.272	0.1742	0.5375	0.2429	0.0827	-0.0068	0.3112	0.4405	0.3688	0.1001	0.1525	0.5902	0.1309	0.0314	-0.3303	-0.3931	-0.0001	0.0735	0.6063	0.6357	0.9022
