"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Location]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Elevation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Season]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Month of collection]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Year of collection]"	"Term Source REF"	"Term Accession Number"
"Espeletia103"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia semiglobulata Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"103"	"P. of Venezuela"	""	""	"4063"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia111"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia tenorae Aristeg. x Espeletia schultzii Wedd."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"111"	"P. of Venezuela"	""	""	"3511"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia112"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia tenorae cf. Aristeg."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"112"	"P. of Venezuela"	""	""	"3471"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia117"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia ulotricha Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"117"	"P. of Venezuela"	""	""	"3722"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia120"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia weddellii Sch. Bip. ex Wedd."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"120"	"P. of Venezuela"	""	""	"4232"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia26"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia brassicoidea Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"26"	"P. of Santander/Norte de Santander "	""	""	"4095"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"7"	""	""	"2010"	""	""
"Espeletia27"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia brassicoidea Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"27"	"P. of Santander/Norte de Santander"	""	""	"3896"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia30"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia cleefii Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"30"	"P. of Santander/Norte de Santander"	""	""	"3618"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia32"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia conglomerata Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"32"	"P. of Santander/Norte de Santander"	""	""	"3410"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia41"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia dugandii Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"41"	"P. of Santander/Norte de Santander"	""	""	"3846"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia42"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia dugandii Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"42"	"P. of Santander/Norte de Santander"	""	""	"3966"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia44"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia estanislana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"44"	"P. of Santander/Norte de Santander"	""	""	"3966"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia45"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia estanislana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"45"	"P. of Santander/Norte de Santander"	""	""	"2639"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia83"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia sp 6"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"83"	"P. of Santander/Norte de Santander"	""	""	"2796"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia93"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia robertii Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"93"	"P. of Santander/Norte de Santander"	""	""	"3582"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia94"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia robertii Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"94"	"P. of Santander/Norte de Santander"	""	""	"4209"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"1"	""	""	"2008"	""	""
"Espeletia104"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia standleyana A. C. Sm."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"104"	"P. of Santander/Norte de Santander"	""	""	"4307"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"1"	""	""	"2008"	""	""
