"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Location]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Elevation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Season]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Month of collection]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Year of collection]"	"Term Source REF"	"Term Accession Number"
"Espeletia48"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia frontinoensis Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"48"	"P. of Central and Western Cordillera"	""	""	"3704"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia49"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia frontinoensis Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"49"	"P. of Central and Western Cordillera"	""	""	"3896"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia54"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia idroboi Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"54"	"P. of Central and Western Cordillera"	""	""	"3129"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"7"	""	""	"2010"	""	""
"Espeletia55"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia idroboi Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"55"	"P. of Central and Western Cordillera"	""	""	"3096"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"7"	""	""	"2010"	""	""
"Espeletia81"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia occidentalis A. C. Sm."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"81"	"P. of Central and Western Cordillera"	""	""	"3723"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia82"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia occidentalis A. C. Sm."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"82"	"P. of Central and Western Cordillera"	""	""	"3615"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia91"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia praefrontina Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"91"	"P. of Central and Western Cordillera"	""	""	"3576"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia92"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia praefrontina Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"92"	"P. of Central and Western Cordillera"	""	""	"3508"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia98"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia schultesiana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"98"	"P. of Central and Western Cordillera"	""	""	"3629"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia1"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia annemariana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"1"	"P. of Boyacá"	""	""	"3455"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia2"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia annemariana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2"	"P. of Boyacá"	""	""	"3445"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia3"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia arbelaezii Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3"	"P. of Boyacá"	""	""	"4012"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"1"	""	""	"2008"	""	""
"Espeletia4"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia arbelaezii Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"4"	"P. of Boyacá"	""	""	"3531"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia9"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia ariana S.Diaz & Rodriguez-Cabeza"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"9"	"P. of Boyacá"	""	""	"3942"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"8"	""	""	"2009"	""	""
"Espeletia10"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia ariana S.Diaz & Rodriguez-Cabeza"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"10"	"P. of Boyacá"	""	""	"3907"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"8"	""	""	"2009"	""	""
"Espeletia13"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia azucarina Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"13"	"P. of Boyacá"	""	""	"3403"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"8"	""	""	"2009"	""	""
"Espeletia14"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia azucarina Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"14"	"P. of Boyacá"	""	""	"3770"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season to Rainy season"	""	""	"8"	""	""	"2009"	""	""
"Espeletia20"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia boyacensis Cuatrec. x Espeletia lopezii Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"20"	"P. of Boyacá"	""	""	"3278"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"8"	""	""	"2009"	""	""
"Espeletia21"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia boyacensis Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"21"	"P. of Boyacá"	""	""	"3190"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia22"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia boyacensis Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"22"	"P. of Boyacá"	""	""	"3724"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season to Rainy season"	""	""	"8"	""	""	"2009"	""	""
"Espeletia23"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia boyacensis Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"23"	"P. of Boyacá"	""	""	"3603"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia24"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia brachyaxiantha S. Díaz"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"24"	"P. of Boyacá"	""	""	"3047"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2009"	""	""
"Espeletia25"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia brachyaxiantha S. Díaz"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"25"	"P. of Boyacá"	""	""	"3718"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2009"	""	""
"Espeletia28"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia cayetana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"28"	"P. of Boyacá"	""	""	"3403"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia29"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia cleefii Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"29"	"P. of Boyacá"	""	""	"3595"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia31"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia congestiflora Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"31"	"P. of Boyacá"	""	""	"3142"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia33"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia sp 1"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"33"	"P. of Boyacá"	""	""	"3218"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia34"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia sp 1"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"34"	"P. of Boyacá"	""	""	"3153"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia36"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia curialensis Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"36"	"P. of Boyacá"	""	""	"2861"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"8"	""	""	"2009"	""	""
"Espeletia39"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia discoidea Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"39"	"P. of Boyacá"	""	""	"3517"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia40"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia discoidea Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"40"	"P. of Boyacá"	""	""	"3538"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia43"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia episcopalis S.Diaz & Rodriguez-Cabeza"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"43"	"P. of Boyacá"	""	""	"3530"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia46"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia formosa S.Diaz & Rodriguez-Cabeza"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"46"	"P. of Boyacá"	""	""	"3795"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia47"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia formosa S.Diaz & Rodriguez-Cabeza"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"47"	"P. of Boyacá"	""	""	"3810"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"8"	""	""	"2009"	""	""
"Espeletia56"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia incana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"56"	"P. of Boyacá"	""	""	"3382"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia57"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia incana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"57"	"P. of Boyacá"	""	""	"3773"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia60"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia jaramilloi S. Díaz x Espeletia boyacensis Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"60"	"P. of Boyacá"	""	""	"3604"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia61"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia jaramilloi S. Díaz"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"61"	"P. of Boyacá"	""	""	"3493"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia62"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia jaramilloi S. Díaz"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"62"	"P. of Boyacá"	""	""	"3473"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia67"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia lopezii Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"67"	"P. of Boyacá"	""	""	"3837"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia68"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia lopezii var. major Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"68"	"P. of Boyacá"	""	""	"3364"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia69"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia sp 4"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"69"	"P. of Boyacá"	""	""	"3339"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia70"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia sp 4"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"70"	"P. of Boyacá"	""	""	"3500"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia71"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia sp 5"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"71"	"P. of Boyacá"	""	""	"4286"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia72"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia murilloi Cuatrec. x Espeletia boyacensis Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"72"	"P. of Boyacá"	""	""	"3732"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia73"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia murilloi Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"73"	"P. of Boyacá"	""	""	"4273"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia75"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia murilloi Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"75"	"P. of Boyacá"	""	""	"3409"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia76"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia murilloi Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"76"	"P. of Boyacá"	""	""	"4072"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"7"	""	""	"2010"	""	""
"Espeletia79"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia nemekenei Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"79"	"P. of Boyacá"	""	""	"3419"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2010"	""	""
"Espeletia80"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia nemekenei Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"80"	"P. of Boyacá"	""	""	"3837"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia84"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia oswaldiana S. Díaz"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"84"	"P. of Boyacá"	""	""	"2800"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia85"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia paipana S. Díaz & Pedraza x Espeletia murilloi Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"85"	"P. of Boyacá"	""	""	"2801"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia86"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia paipana S. Díaz & Pedraza"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"86"	"P. of Boyacá"	""	""	"3891"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"8"	""	""	"2009"	""	""
"Espeletia87"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia paipana S. Díaz & Pedraza"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"87"	"P. of Boyacá"	""	""	"3838"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"8"	""	""	"2009"	""	""
"Espeletia88"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia pescana (S. Diaz) S. Diaz"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"88"	"P. of Boyacá"	""	""	"3762"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"8"	""	""	"2009"	""	""
"Espeletia89"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia pescana (S. Diaz) S. Diaz"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"89"	"P. of Boyacá"	""	""	"3888"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2009"	""	""
"Espeletia90"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia pisbana S.Diaz & Rodriguez-Cabeza"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"90"	"P. of Boyacá"	""	""	"3664"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2009"	""	""
"Espeletia95"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia rositae Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"95"	"P. of Boyacá"	""	""	"3260"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"1"	""	""	"2008"	""	""
"Espeletia96"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia sp 7"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"96"	"P. of Boyacá"	""	""	"3487"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"8"	""	""	"2009"	""	""
"Espeletia97"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia sp 7"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"97"	"P. of Boyacá"	""	""	"3406"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"8"	""	""	"2009"	""	""
"Espeletia110"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia sp 8 "	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"110"	"P. of Boyacá"	""	""	"3444"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"8"	""	""	"2009"	""	""
"Espeletia113"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia sp 9"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"113"	"P. of Boyacá"	""	""	"3483"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2009"	""	""
