"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Incubation Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cell Number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[NS]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Neutrophil Activation]"	"Term Source REF"	"Term Accession Number"
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"17"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"6000000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"18"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"6000000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"19"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"6000000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"20"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"6000000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"21"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"6000000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"22"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"6000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"23"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"6000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"24"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"6000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"25"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"26"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"27"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"28"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"29"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"30"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"31"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"32"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"33"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"34"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"35"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"no"	""	""
