"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Incubation Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cell Number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[NS]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Neutrophil Activation]"	"Term Source REF"	"Term Accession Number"
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"75"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"9700000"	""	""	"2048"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"76"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2500000"	""	""	"2048"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"77"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2500000"	""	""	"2048"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"78"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2500000"	""	""	"1024"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"79"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3500000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"80"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3500000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"81"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3500000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"82"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"9700000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"83"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"9700000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"84"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"9700000"	""	""	"256"	""	""	"no"	""	""
