"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[treatment]"	"Term Source REF"	"Term Accession Number"
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC 5 5x M1"	"65"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Quality control"	""	""
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC 6 5x M1"	"65"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Quality control"	""	""
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC 7 5x M1"	"65"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Quality control"	""	""
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"no cop 10 5x M1"	"65"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"no cop 11 5x M1"	"65"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"no cop 12 5x M1"	"65"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"no cop 13 5x M1"	"65"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"no cop 14 5x M1"	"65"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cop 10 5x M1"	"65"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"grazed"	""	""
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cop 11 5x M1"	"65"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"grazed"	""	""
