"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Country of origin]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Population ID]"	"Term Source REF"	"Term Accession Number"	"Factor Value[MFFGC accession no.]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Type]"	"Term Source REF"	"Term Accession Number"
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0037_2"	"PG0037"	""	""	"2"	""	""	"NZ"	""	""	"GIL012"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0039_2"	"PG0039"	""	""	"2"	""	""	"NZ"	""	""	"GIL012"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0067_2"	"PG0067"	""	""	"2"	""	""	"NZ"	""	""	"GIL029"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0070_2"	"PG0070"	""	""	"2"	""	""	"NZ"	""	""	"GIL029"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0085_2"	"PG0085"	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0095_2"	"PG0095"	""	""	"2"	""	""	"NZ"	""	""	"GIL028"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0103_2"	"PG0103"	""	""	"2"	""	""	"NZ"	""	""	"GIL027"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0105_2"	"PG0105"	""	""	"2"	""	""	"NZ"	""	""	"GIL027"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0158_2"	"PG0158"	""	""	"2"	""	""	"NZ"	""	""	"GIL024"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0164_2"	"PG0164"	""	""	"2"	""	""	"NZ"	""	""	"GIL024"	""	""	""	""	""	"NZ elite breeding pool"	""	""
