"variable.name"	"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"
"X592.62"	"CHEBI:25017"	"C6H13NO2"	"CC(C)CC(C(=O)O)N"	"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)"	"A129002_Leucine (2TMS)"	NA	NA	NA	NA	592.62	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X604.23"	"CHEBI:15428"	"C2H5NO2"	"C(C(=O)O)N"	"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)"	"A133001_Glycine (3TMS)"	NA	NA	NA	NA	604.23	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X611.2"	"CHEBI:48141"	"H6OSi2"	"O([SiH3])[SiH3]"	"InChI=1S/H6OSi2/c2-1-3/h2-3H3"	"Siloxane"	NA	NA	NA	NA	611.2	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X625.4"	"CHEBI:33508"	"C3H6O4"	"C(C(C(=O)O)O)O"	"InChI=1S/C3H6O4/c4-1-2(5)3(6)7/h2,4-5H,1H2,(H,6,7)"	"A135003_Glyceric acid (3TMS)"	NA	NA	NA	NA	625.4	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X631.61"	"CHEBI:27810"	"C6H6O2"	"Oc1cccc(O)c1"	"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H"	"Resorcinol (2TMS)"	NA	NA	NA	NA	631.61	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X651.07"	"CHEBI:17822"	"C3H7NO3"	"NC(CO)C(O)=O"	"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)"	"A138001_Serine (3TMS)"	NA	NA	NA	NA	651.07	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X659.38"	"CHEBI:132546"	"C4H6N2O2"	"C(C#N)C(C(=O)O)N"	"InChI=1S/C4H6N2O2/c5-2-1-3(6)4(7)8/h3H,1,6H2,(H,7,8)"	"A138005_Alanine, 3-cyano- (2TMS)"	NA	NA	NA	NA	659.38	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X667.97"	"CHEBI:16865"	"C4H9NO2"	"C(CC(=O)O)CN"	"InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)"	"GABA (2TMS)"	NA	NA	NA	NA	667.97	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X674.87"	"CHEBI:26986"	"C4H9NO3"	""	""	"A140001_Threonine (3TMS)"	NA	NA	NA	NA	674.87	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X682.65"	"CHEBI:91315"	"C5H8O4"	"OC(=O)C(CC(O)=O)C"	"InChI=1S/C5H8O4/c1-3(5(8)9)2-4(6)7/h3H,2H2,1H3,(H,6,7)(H,8,9)"	"Methylsuccinic acid (2TMS)"	NA	NA	NA	NA	682.65	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
