"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample Collection]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Experimental Group]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Infection]"	"Term Source REF"	"Term Accession Number"
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.013"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Control Group 2"	""	""	"Not infected with S. Typhimurium"	""	""
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.014"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Control Group 2"	""	""	"Not infected with S. Typhimurium"	""	""
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.015"	"21"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Control Group 2"	""	""	"Not infected with S. Typhimurium"	""	""
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.016"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Control Group 2"	""	""	"Not infected with S. Typhimurium"	""	""
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.017"	"Pre-infection"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Experimental 1"	""	""	"Infected with S. Typhimurium"	""	""
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.018"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Experimental 1"	""	""	"Infected with S. Typhimurium"	""	""
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.019"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Experimental 1"	""	""	"Infected with S. Typhimurium"	""	""
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.020"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Experimental 1"	""	""	"Infected with S. Typhimurium"	""	""
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.021"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Experimental 1"	""	""	"Infected with S. Typhimurium"	""	""
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.022"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Experimental 1"	""	""	"Infected with S. Typhimurium"	""	""
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.023"	"21"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Experimental 1"	""	""	"Infected with S. Typhimurium"	""	""
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.024"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Experimental 1"	""	""	"Infected with S. Typhimurium"	""	""
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.025"	"Pre-infection"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Experimental 2"	""	""	"Infected with S. Typhimurium"	""	""
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.026"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Experimental 2"	""	""	"Infected with S. Typhimurium"	""	""
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.027"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Experimental 2"	""	""	"Infected with S. Typhimurium"	""	""
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.028"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Experimental 2"	""	""	"Infected with S. Typhimurium"	""	""
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.029"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Experimental 2"	""	""	"Infected with S. Typhimurium"	""	""
"Mouse Feces"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"Mus musculus strain 129/SvJ"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SBEP_Microbiome.030"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Experimental 2"	""	""	"Infected with S. Typhimurium"	""	""
