"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[inflammation]"	"Term Source REF"	"Term Accession Number"	"Factor Value[age]"	"Unit"	"Term Source REF"	"Term Accession Number"
"6-wk_KO_CC_male_5_25__30min_pos-neg_94"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"b13"	"KO"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_KO_CC_male_10_26__30min_pos-neg_91"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"b14"	"KO"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_KO_CC_male_13_27__30min_pos-neg_13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"b15"	"KO"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_KO_CC_male_21_29__30min_pos-neg_33"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"b16"	"KO"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_KO_CC_male_35_30__30min_pos-neg_20"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"b17"	"KO"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_KO_CC_male_38_32__30min_pos-neg_62"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a+/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"b18"	"HZ"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_KO_CC_male_395_13__30min_pos-neg_56"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"b19"	"KO"	""	""	"1"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_KO_IB_male_354_1__30min_pos-neg_27"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"b20"	"KO"	""	""	"1"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_KO_IB_male_361_6__30min_pos-neg_47"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"b21"	"KO"	""	""	"0"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_KO_IB_male_369_8__30min_pos-neg_71"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"b22"	"KO"	""	""	"0"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_KO_IB_male_395_12__30min_pos-neg_97"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"b23"	"KO"	""	""	"1"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_KO_IB_male_398_14__30min_pos-neg_67"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"b24"	"KO"	""	""	"2"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_KO_IB_male_401_16__30min_pos-neg_40"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"b25"	"KO"	""	""	"1"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_KO_IB_male_476_17__30min_pos-neg_99"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"b26"	"KO"	""	""	"1"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_KO_IB_male_510_18__30min_pos-neg_104"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"b27"	"KO"	""	""	"1"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_KO_IB_male_519_20__30min_pos-neg_21"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"b28"	"KO"	""	""	"0"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_KO_IB_male_535_79__30min_pos-neg_59"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"b29"	"KO"	""	""	"2"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_WT_CC_male_2_23__30min_pos-neg_64"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c30"	"WT"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_WT_CC_male_4_24__30min_pos-neg_69"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c31"	"WT"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_WT_CC_male_19_28__30min_pos-neg_17"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c32"	"WT"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_WT_CC_male_36_31__30min_pos-neg_103"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c33"	"WT"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_WT_CC_male_45_77__30min_pos-neg_92"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c34"	"WT"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_WT_CC_male_355_2__30min_pos-neg_37"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c35"	"WT"	""	""	"2"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_WT_CC_male_356_3__30min_pos-neg_57"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c36"	"WT"	""	""	"0"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_WT_CC_male_373_9__30min_pos-neg_34"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c37"	"WT"	""	""	"1"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_WT_CC_male_374_10__30min_pos-neg_52"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c38"	"WT"	""	""	"0"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_WT_CC_male_375_11__30min_pos-neg_53"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c39"	"WT"	""	""	"1"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_WT_IB_male_359_4__30min_pos-neg_35"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c40"	"WT"	""	""	"0"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_WT_IB_male_360_5__30min_pos-neg_44"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c41"	"WT"	""	""	"0"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_WT_IB_male_362_7__30min_pos-neg_86"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c42"	"WT"	""	""	"0"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_WT_IB_male_399_15__30min_pos-neg_46"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c43"	"WT"	""	""	"4"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_WT_IB_male_512_19__30min_pos-neg_81"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c44"	"WT"	""	""	"2"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
