"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Coral Species]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spectral Normalization]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Moorea 2013 Sample Collection"	"Pocillopora meandrina"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46732"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_24"	"Pocillopora meandrina"	""	""	"0.003645"	"g"	""	""
"Moorea 2013 Sample Collection"	"Pocillopora acuta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1491507"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_25"	"Pocillopora acuta"	""	""	"0.002385"	"g"	""	""
"Moorea 2013 Sample Collection"	"Montipora"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46703"	"Montipora spp."	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_26"	"Montipora spp."	""	""	"0.003525"	"g"	""	""
"Moorea 2013 Sample Collection"	"Pocillopora meandrina"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46732"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_27"	"Pocillopora meandrina"	""	""	"0.00264"	"g"	""	""
"Moorea 2013 Sample Collection"	"Porites lobata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/104759"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_28"	"Porites lobata"	""	""	"0.00186"	"g"	""	""
"Moorea 2013 Sample Collection"	"Montipora aequituberculata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/105609"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_29"	"Montipora aequituberculata"	""	""	"0.003255"	"g"	""	""
"Moorea 2013 Sample Collection"	"Montipora aequituberculata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/105609"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_30"	"Montipora aequituberculata"	""	""	"0.00618"	"g"	""	""
"Moorea 2013 Sample Collection"	"Porites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46719"	"Porites irregularis"	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_31"	"Porites irregularis"	""	""	"0.004125"	"g"	""	""
"Moorea 2013 Sample Collection"	"Porites rus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/262591"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_32"	"Porites rus"	""	""	"0.0036"	"g"	""	""
"Moorea 2013 Sample Collection"	"Acropora"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6127"	"Acropora sp. 1"	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_33"	"Acropora sp. 1"	""	""	"0.003855"	"g"	""	""
"Moorea 2013 Sample Collection"	"Montipora"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46703"	"Montipora spp."	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_34"	"Montipora spp."	""	""	"0.003255"	"g"	""	""
"Moorea 2013 Sample Collection"	"Montipora aequituberculata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/105609"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_35"	"Montipora aequituberculata"	""	""	"0.00108"	"g"	""	""
"Moorea 2013 Sample Collection"	"Acropora"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6127"	"Acropora sp. 1"	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_36"	"Acropora sp. 1"	""	""	"0.002715"	"g"	""	""
"Moorea 2013 Sample Collection"	"Pocillopora meandrina"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46732"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_37"	"Pocillopora meandrina"	""	""	"0.00249"	"g"	""	""
"Moorea 2013 Sample Collection"	"Acropora"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6127"	"Acropora sp. 2"	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_38"	"Acropora sp. 2"	""	""	"0.001635"	"g"	""	""
"Moorea 2013 Sample Collection"	"Acropora"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6127"	"Acropora sp. 2"	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_41"	"Acropora sp. 2"	""	""	"0.00246"	"g"	""	""
"Moorea 2013 Sample Collection"	"Pocillopora acuta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1491507"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_43"	"Pocillopora acuta"	""	""	"0.00324"	"g"	""	""
"Moorea 2013 Sample Collection"	"Pocillopora acuta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1491507"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_44"	"Pocillopora acuta"	""	""	"0.00105"	"g"	""	""
"Moorea 2013 Sample Collection"	"Porites rus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/262591"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_45"	"Porites rus"	""	""	"0.00303"	"g"	""	""
"Moorea 2013 Sample Collection"	"Montipora"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46703"	"Montipora spp."	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_46"	"Montipora spp."	""	""	"0.00195"	"g"	""	""
"Moorea 2013 Sample Collection"	"Porites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46719"	"Porites irregularis"	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_47"	"Porites irregularis"	""	""	"0.00336"	"g"	""	""
"Moorea 2013 Sample Collection"	"Porites rus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/262591"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_49"	"Porites rus"	""	""	"0.002715"	"g"	""	""
"Moorea 2013 Sample Collection"	"Montipora aequituberculata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/105609"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_52"	"Montipora aequituberculata"	""	""	"0.00591"	"g"	""	""
"Moorea 2013 Sample Collection"	"Porites lobata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/104759"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_54"	"Porites lobata"	""	""	"0.00291"	"g"	""	""
"Moorea 2013 Sample Collection"	"Porites rus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/262591"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_57"	"Porites rus"	""	""	"0.00191"	"g"	""	""
"Moorea 2013 Sample Collection"	"Porites lobata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/104759"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_61"	"Porites lobata"	""	""	"0.002595"	"g"	""	""
"Moorea 2013 Sample Collection"	"Porites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46719"	"Porites irregularis"	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_62"	"Porites irregularis"	""	""	"0.00222"	"g"	""	""
"Moorea 2013 Sample Collection"	"Acropora"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6127"	"Acropora sp. 2"	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_69"	"Acropora sp. 2"	""	""	"0.00168"	"g"	""	""
"Moorea 2013 Sample Collection"	"Porites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46719"	"Porites irregularis"	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_74"	"Porites irregularis"	""	""	"0.00354"	"g"	""	""
"Moorea 2013 Sample Collection"	"Montipora aequituberculata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/105609"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_77"	"Montipora aequituberculata"	""	""	"0.011295"	"g"	""	""
"Moorea 2013 Sample Collection"	"Acropora"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6127"	"Acropora sp. 2"	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_89"	"Acropora sp. 2"	""	""	"6.9E-4"	"g"	""	""
