"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[TreatPhase1]"	"Term Source REF"	"Term Accession Number"	"Factor Value[TestItemPhase1]"	"Term Source REF"	"Term Accession Number"	"Factor Value[ExposureDurationPhase1]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[TreatPhase2]"	"Term Source REF"	"Term Accession Number"	"Factor Value[TestItemPhase2]"	"Term Source REF"	"Term Accession Number"	"Factor Value[ExposureDurationPhase2]"	"Unit"	"Term Source REF"	"Term Accession Number"
"920146"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"920146-Liver-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"pMRTP"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	""	""	""	""	""	""	""	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920146"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"920146-Rightlung-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"pMRTP"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	""	""	""	""	""	""	""	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920157"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"920157-Blood-extract"	"Conditioned Fresh Air"	""	""	""	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Conditioned Fresh Air"	""	""	""	""	""	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920174"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"920174-Liver-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Conditioned Fresh Air"	""	""	""	""	""	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920174"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"920174-Rightlung-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Conditioned Fresh Air"	""	""	""	""	""	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920175"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"920175-Blood-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Diluted Mainstream Cigarette Smoke"	""	""	"pMRTP"	""	""	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920179"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"920179-Blood-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Conditioned Fresh Air"	""	""	""	""	""	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920186"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"920186-Liver-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	""	""	""	""	""	""	""	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920186"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"920186-Rightlung-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	""	""	""	""	""	""	""	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920204"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"920204-Blood-extract"	"Conditioned Fresh Air"	""	""	""	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Conditioned Fresh Air"	""	""	""	""	""	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920208"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"920208-Liver-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Diluted Mainstream Cigarette Smoke"	""	""	"pMRTP"	""	""	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920208"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"920208-Rightlung-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Diluted Mainstream Cigarette Smoke"	""	""	"pMRTP"	""	""	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920216"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"920216-Blood-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"1"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920223"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"920223-Liver-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	""	""	""	""	""	""	""	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920223"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"920223-Rightlung-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	""	""	""	""	""	""	""	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920224"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"920224-Liver-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"pMRTP"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Diluted Mainstream Cigarette Smoke"	""	""	"pMRTP"	""	""	"1"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920224"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"920224-Rightlung-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"pMRTP"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Diluted Mainstream Cigarette Smoke"	""	""	"pMRTP"	""	""	"1"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
