"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[filter usage]"	"Term Source REF"	"Term Accession Number"
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180920_01_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180920_02_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180920_03_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180920_04_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180920_05_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180920_06_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180920_07_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180920_08_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180920_09_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180921_01_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
