"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[disease state]"	"Term Source REF"	"Term Accession Number"
"c574"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/10"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000604"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_3m_c574"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"heathy control"	""	""
"mdx1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. C57BL/10-Dmdmdx"	""	""	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_3m_mdx1"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"mdx"	""	""
"mdx2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. C57BL/10-Dmdmdx"	""	""	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_3m_mdx2"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"mdx"	""	""
"mdx3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. C57BL/10-Dmdmdx"	""	""	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_3m_mdx3"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"mdx"	""	""
"mdx4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. C57BL/10-Dmdmdx"	""	""	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_3m_mdx4"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"mdx"	""	""
"c571H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/10"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000604"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_5m_c571H"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"heathy control"	""	""
"c572H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/10"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000604"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_5m_c572H"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"heathy control"	""	""
"c573H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/10"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000604"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_5m_c573H"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"heathy control"	""	""
"c574H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/10"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000604"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_5m_c574H"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"heathy control"	""	""
"mdx1H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. C57BL/10-Dmdmdx"	""	""	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_5m_mdx1H"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"mdx"	""	""
