"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Diet]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time post exposure]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Sample65"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample65"	"Normal diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample66"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample66"	"Normal diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample67"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample67"	"Normal diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample68"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample68"	"Atherogenic diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample69"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample69"	"Atherogenic diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample70"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample70"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample71"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample71"	"Normal diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample72"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample72"	"Atherogenic diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample73"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample73"	"Normal diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample74"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample74"	"Normal diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample75"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample75"	"Atherogenic diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample76"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample76"	"Atherogenic diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample77"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample77"	"Atherogenic diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample78"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample78"	"Normal diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample79"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample79"	"Atherogenic diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample80"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample80"	"Atherogenic diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample81"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample81"	"Atherogenic diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample82"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample82"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample83"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample83"	"Normal diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample84"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample84"	"Normal diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample85"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample85"	"Atherogenic diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample86"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample86"	"Atherogenic diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample87"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample87"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample88"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample88"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample89"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample89"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample90"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample90"	"Atherogenic diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample91"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample91"	"Normal diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample92"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample92"	"Normal diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample93"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample93"	"Normal diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample94"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample94"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample95"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample95"	"Normal diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample96"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample96"	"Normal diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample97"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample97"	"Atherogenic diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample98"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample98"	"Atherogenic diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample99"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample99"	"Atherogenic diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample100"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample100"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample101"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample101"	"Normal diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample102"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample102"	"Normal diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample103"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample103"	"Atherogenic diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample104"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample104"	"Normal diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample105"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample105"	"Atherogenic diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample106"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample106"	"Normal diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample107"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample107"	"Normal diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample108"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample108"	"Normal diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample109"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample109"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample110"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample110"	"Normal diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample111"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample111"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample112"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample112"	"Normal diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample113"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample113"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample114"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample114"	"Normal diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample115"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample115"	"Atherogenic diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample116"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample116"	"Atherogenic diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample117"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample117"	"Normal diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample118"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample118"	"Normal diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample119"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample119"	"Normal diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample120"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample120"	"Normal diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample121"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample121"	"Normal diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample122"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample122"	"Atherogenic diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample123"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample123"	"Normal diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample124"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample124"	"Normal diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample125"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample125"	"Normal diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample126"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample126"	"Normal diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample127"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample127"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample128"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample128"	"Atherogenic diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample129"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample129"	"Normal diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample130"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample130"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample131"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample131"	"Atherogenic diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
